City,IATA code,Latitude (deg),Longitude (deg),Runway (m)
London,LHR,51.4706,-0.46194,3200
Paris,CDG,49.0128,2.55,3100
Amsterdam,AMS,52.3086,4.7639,3400
Frankfurt,FRA,50.0333,8.5706,3400
Madrid,MAD,40.4719,-3.5626,3600
Barcelona,BCN,41.2971,2.0785,2700
Munich,MUC,48.3538,11.7861,2800
Rome,FCO,41.8003,12.2389,2800
Dublin,DUB,53.4213,-6.2701,2600
Stockholm,ARN,59.6519,17.9186,2700
Lisbon,LIS,38.7813,-9.1359,2600
Berlin,TXL,52.5597,13.2877,2900
Helsinki,HEL,60.3172,24.9633,2700
Warsaw,WAW,52.1657,20.9671,2500
Edinburgh,EDI,55.95,-3.3725,2200
Bucharest,OTP,44.5711,26.085,1900
Heraklion,HER,35.3397,25.1803,1800
Reykjavik,KEF,63.985,-22.6056,2200
Palermo,PMO,38.1108,13.3133,2300
Madeira,FNC,32.6979,-16.7745,1900
