,LHR,CDG,AMS,FRA,MAD,BCN,MUC,FCO,DUB,ARN,LIS,TXL,HEL,WAW,EDI,OTP,HER,KEF,PMO,FNC
LHR,0.0,347.1672865227283,3240.9014931351267,5695.653120719774,2943.532369697711,1972.232695049154,7467.6913494172595,8268.895465039679,4087.914579850901,7658.787980285515,6800.548635772981,7652.93521025954,6107.636096652128,8150.381411181818,5950.322390781316,2103.7960178429003,8081.651668883894,12258.323830710371,9081.447563075659,10573.678012493716
CDG,347.1672865227283,0.0,3147.182441704401,5675.691165086702,3123.693367912753,1661.158363627474,7539.760437953423,8332.780629515197,4410.332137856983,7928.283138961829,7119.476287560728,7788.506817591906,6453.73487885437,8475.88426811602,5909.021061081501,1850.1335428814184,8416.827788983299,12264.365671443486,9175.943821259829,10878.443934702294
AMS,3240.9014931351267,3147.182441704401,0.0,2635.1485572761967,6157.671189944823,2362.101683486361,4805.169783560297,5521.899425372159,6606.683455485712,6832.391826463975,9138.766195977623,5422.400663611152,7338.803183508515,8277.424638338714,8928.7565836588,1798.0666166068977,9990.544315993324,9194.029805683263,6477.3462993943185,9956.61133295653
FRA,5695.653120719774,5675.691165086702,2635.1485572761967,0.0,8441.311360144036,4974.372303033208,2325.915416548238,2947.736099524967,8136.96777754229,5568.8109400297035,10135.1683395492,3232.8633707131976,7659.9684112867,7488.3954472696005,11547.748779567062,4415.6348008006735,10423.980837493247,6593.649857442167,3938.3272836915376,8331.444053669553
MAD,2943.532369697711,3123.693367912753,6157.671189944823,8441.311360144036,0.0,4656.7482777376645,9799.363473446232,10602.36674341366,2485.043567804733,8433.458416460497,4695.825523091025,9611.22748187783,5389.322080445505,7948.270227354786,3882.7744403319416,4956.394866293844,6210.634771021655,14695.146442593312,11202.54259463117,10509.523484344678
BCN,1972.232695049154,1661.158363627474,2362.101683486361,4974.372303033208,4656.7482777376645,0.0,7163.929129219818,7883.615613710184,6059.611329086444,8616.630666820238,8772.717471403525,7714.31689743122,7874.814455962722,9587.188677391963,6683.167262361883,564.3217682629255,10031.742188473469,11421.275553022664,8837.951054980664,11740.912914059822
MUC,7467.6913494172595,7539.760437953423,4805.169783560297,2325.915416548238,9799.363473446232,7163.929129219818,0.0,810.4631372207328,8698.088038981641,4035.8709461245053,9906.003638151147,1158.5211126932966,7175.759592442771,6086.679202858458,13408.581087502378,6599.713101798611,9650.148588982604,4906.500630127394,1675.9708799267182,6265.817123404251
FCO,8268.895465039679,8332.780629515197,5521.899425372159,2947.736099524967,10602.36674341366,7883.615613710184,810.4631372207328,0.0,9415.719464992964,4292.750535422558,10426.524630659718,1431.928900796541,7690.945166677685,6311.740713606035,14214.630600119805,7319.868574645099,10011.114409903004,4098.735388426768,1002.5125248427754,6096.77730393961
DUB,4087.914579850901,4410.332137856983,6606.683455485712,8136.96777754229,2485.043567804733,6059.611329086444,8698.088038981641,9415.719464992964,0.0,6288.743500351649,2714.0662710725974,8142.163659068483,2925.655751871285,5504.895864389947,5930.548472384063,6123.606090181109,4043.713496002175,13182.018807020262,9723.759785864748,8042.007437076744
ARN,7658.787980285515,7928.283138961829,6832.391826463975,5568.8109400297035,8433.458416460497,8616.630666820238,4035.8709461245053,4292.750535422558,6288.743500351649,0.0,6340.927247610907,2911.764679155817,3729.835354477559,2050.851470485852,12204.274958189939,8168.68155228819,5728.314194382068,7035.841885730543,4008.577840358712,3148.4230710682114
LIS,6800.548635772981,7119.476287560728,9138.766195977623,10135.1683395492,4695.825523091025,8772.717471403525,9906.003638151147,10426.524630659718,2714.0662710725974,6340.927247610907,0.0,8998.176723814584,2736.883301382113,4688.995278592057,6844.077423595373,8830.981924954722,1539.8335373441232,13161.533868861085,10332.384233597517,6724.749650124244
TXL,7652.93521025954,7788.506817591906,5422.400663611152,3232.8633707131976,9611.22748187783,7714.31689743122,1158.5211126932966,1431.928900796541,8142.163659068483,2911.764679155817,8998.176723814584,0.0,6264.664152659833,4957.076071518336,13425.807102697887,7160.858273215178,8598.303537963913,5133.816479800121,1606.7662823230244,5160.392883474612
HEL,6107.636096652128,6453.73487885437,7338.803183508515,7659.9684112867,5389.322080445505,7874.814455962722,7175.759592442771,7690.945166677685,2925.655751871285,3729.835354477559,2736.883301382113,6264.664152659833,0.0,2582.502475421118,8734.018264802586,7702.105909530617,2781.7387218456106,10751.485162431654,7645.287617234429,5120.999526869969
WAW,8150.381411181818,8475.88426811602,8277.424638338714,7488.3954472696005,7948.270227354786,9587.188677391963,6086.679202858458,6311.740713606035,5504.895864389947,2050.851470485852,4688.995278592057,4957.076071518336,2582.502475421118,0.0,11266.831898607683,9252.956537172104,3793.606056574523,8474.595365110321,5909.4023130779915,2579.2315641688556
EDI,5950.322390781316,5909.021061081501,8928.7565836588,11547.748779567062,3882.7744403319416,6683.167262361883,13408.581087502378,14214.630600119805,5930.548472384063,12204.274958189939,6844.077423595373,13425.807102697887,8734.018264802586,11266.831898607683,0.0,7211.273263046481,8241.036471066756,18104.170378911498,14968.941962992878,13561.379646002904
OTP,2103.7960178429003,1850.1335428814184,1798.0666166068977,4415.6348008006735,4956.394866293844,564.3217682629255,6599.713101798611,7319.868574645099,6123.606090181109,8168.68155228819,8830.981924954722,7160.858273215178,7702.105909530617,9252.956537172104,7211.273263046481,0.0,10006.238119316802,10895.337868710818,8273.638077691407,11309.87109278386
HER,8081.651668883894,8416.827788983299,9990.544315993324,10423.980837493247,6210.634771021655,10031.742188473469,9650.148588982604,10011.114409903004,4043.713496002175,5728.314194382068,1539.8335373441232,8598.303537963913,2781.7387218456106,3793.606056574523,8241.036471066756,10006.238119316802,0.0,12044.850470016741,9694.836991702496,5411.961796025226
KEF,12258.323830710371,12264.365671443486,9194.029805683263,6593.649857442167,14695.146442593312,11421.275553022664,4906.500630127394,4098.735388426768,13182.018807020262,7035.841885730543,13161.533868861085,5133.816479800121,10751.485162431654,8474.595365110321,18104.170378911498,10895.337868710818,12044.850470016741,0.0,3527.196110320312,6675.286255593358
PMO,9081.447563075659,9175.943821259829,6477.3462993943185,3938.3272836915376,11202.54259463117,8837.951054980664,1675.9708799267182,1002.5125248427754,9723.759785864748,4008.577840358712,10332.384233597517,1606.7662823230244,7645.287617234429,5909.4023130779915,14968.941962992878,8273.638077691407,9694.836991702496,3527.196110320312,0.0,5302.187544246952
FNC,10573.678012493716,10878.443934702294,9956.61133295653,8331.444053669553,10509.523484344678,11740.912914059822,6265.817123404251,6096.77730393961,8042.007437076744,3148.4230710682114,6724.749650124244,5160.392883474612,5120.999526869969,2579.2315641688556,13561.379646002904,11309.87109278386,5411.961796025226,6675.286255593358,5302.187544246952,0.0
